Capítulo,PERSONAGEM CENTRAL,LOCALIZAÇÃO,CONTEXTO,ENSINAMENTO PRINCIPAL,MANIFESTAÇÕES MIRACULOSAS,DIÁLOGO PRINCIPAL,ASSEMBLEIA PRESENTE,PROGRESSÃO ESPIRITUAL,TRANSIÇÃO,ELEMENTOS ÚNICOS
CAPÍTULO 08: MUKTAKA,Muktaka - comerciante chefe e bodhisattva,Vanavāsī,"Sudhana chega após 12 anos de jornada a Vanavāsī, onde encontra o comerciante Muktaka. Este representa a realização da liberação através da compreensão da natureza ilusória de todas as manifestações.","Liberação dos tathāgatas chamada ""exposição sem impedimentos""; Compreensão de que todas as realizações budistas surgem da ""bênção da própria mente""; Visão simultânea de budas em todas as direções sem movimento físico; Natureza onírica e ilusória de todas as percepções espirituais","Corpo de Muktaka torna-se puro, manifestando incontáveis budas; Aparição de tathāgatas nas dez direções com seus reinos puros; Demonstração de todos os feitos búdicos simultaneamente; Redes de luz emanando de todos os poros corporais","Sudhana questiona sobre o treinamento bodhisattva; Muktaka explica a liberação ""exposição sem impedimentos""; Ensino fundamental: ""tudo surge da bênção da própria mente""; Orientação para cultivo mental através de mérito e sabedoria",Incontáveis assembleias de discípulos manifestadas; Aparições de bodhisattvas como Vairocana garbha; Seres variados recebendo ensinamentos conforme capacidades; Demonstração de níveis imensuráveis de participantes,Realização da natureza não-dual de saṃsāra e nirvāṇa; Compreensão da interdependência universal; Desenvolvimento da visão búdica direta; Estabelecimento na sabedoria não-conceitual,Direcionamento para Milaspharaṇa na ponta de Jambudvīpa; Encontro com bhikṣu Sāgara dhvaja; Instrução específica sobre conduta bodhisattva; Despedida emotiva com reverência aos kalyāṇamitras,"Ênfase na natureza mental de todas as realizações; Analogias dos sonhos, reflexos e ecos; Visão simultânea de múltiplos reinos búdicos; Integração entre atividade comercial e realização espiritual"
CAPÍTULO 09: SĀGARA DHVAJA,Sāgara dhvaja - bhikṣu em profundo samādhi,"Milaspharaṇa, na ponta de Jambudvīpa","Sudhana encontra o monge em meditação profunda por seis meses, manifestando emanações miraculosas de todos os poros de seu corpo. Representa a perfeição da sabedoria através da meditação.","Samādhi ""visão completa da realização da equanimidade""; Perfeição da sabedoria através da ""exposição pura de cada portal""; Manifestação simultânea das dez perfections bodhisattva; Métodos inconcebíveis para amadurecimento de seres",Corpo estendendo-se infinitamente em todas as direções; Emanações específicas de cada parte corporal; Dos pés: assembleias de comerciantes; Do umbigo: multidões de ṛṣis ensinando; Do peito: senhores asura destruindo kleśas; Da cabeça: bodhisattvas demonstrando perfections,Sudhana questiona sobre o nome e alcance do samādhi; Sāgara dhvaja explica os poderes da meditação; Descrição detalhada das capacidades sem impedimento; Reconhecimento das limitações do próprio conhecimento,Emanações específicas para cada tipo de ser; Incontáveis manifestações adaptadas às necessidades; Redes de luz realizando atividades infinitas; Demonstrações das perfections através de formas corporais,Domínio completo das dez perfections; Capacidade de manifestação universal; Sabedoria que penetra todos os reinos; Compaixão ilimitada em ação constante,Orientação para Samudravetāḍī; Encontro com upāsikā Āśā no parque Samanta vyūha; Sudhana permanece seis meses observando; Integração profunda dos ensinamentos recebidos,Manifestações corporais específicas por região anatômica; Demonstração das perfections através de ação direta; Duração estendida do encontro (seis meses); Ênfase na sabedoria prática e compaixão ativa
CAPÍTULO 10: ĀŚĀ,Āśā - upāsikā (praticante leiga feminina),Parque Samanta vyūha em Samudravetāḍī,"Sudhana encontra Āśā em um parque paradisíaco, cercada por quintilhões de seres. Ela representa a liberação através da compaixão universal e demonstra a ilimitada aspiração bodhisattva.","Liberação ""estandarte da bem-aventurança sem tristeza""; Aspiração bodhisattva verdadeiramente universal; Compromisso com TODOS os seres sem exceção; Enumeração de números inconcebíveis demonstrando infinitude",Parque adornado com materiais preciosos infinitos; Dez trilhões de mansões e palácios aéreos; Milhões de lagos com águas perfumadas; Redes de joias e canopias celestiais cobrindo tudo,Explicação da natureza da aspiração bodhisattva; Longuíssima enumeração de números astronômicos; Demonstração de que bodhisattvas não se satisfazem com metas limitadas; Compromisso apenas com a liberação total universal,"Quintilhões de seres presentes; 84.400.000 quintilhões com mesmo nível de conduta; Seres das dez direções: Brahmās, devas, nāgas, etc.; Todos tornam-se irreversíveis ao ver Āśā",Cura instantânea de doenças e kleśas pela visão de Āśā; Desenvolvimento de faculdades e poderes espirituais; Estabelecimento na irreversibilidade; Purificação completa de obscurações,Direcionamento para Nālayu; Encontro com ṛṣi Bhīṣmottaranirghoṣa; Despedida emocional contemplando a raridade dos ensinamentos; Reflexão sobre a preciosidade dos kalyāṇamitras,Aspiração verdadeiramente infinita e universal; Enumeração matemática de números inconcebíveis; Ênfase na inclusão total sem exceções; Representação feminina da realização bodhisattva; Conexão entre prática leiga e realização suprema
CAPÍTULO 11: BHĪṢMOTTARA NIRGHOṢA,Rishi Bhīṣmottara Nirghoṣa – sábio em isolamento,Floresta em Nālayu,Sudhana chega a uma floresta perfumada e abundantemente cheia de flores. Ele encontra Bhīṣmottara Nirghoṣa sob uma cobertura de sandálias.,"Liberação bodhisattva da ""bandeira de invencibilidade""; Importância dos kalyāṇamitras como guias para onisciência; Visão da sabedoria como luz sobre os fenômenos",Toque no topo da cabeça revela reinos búdicos incontáveis; Visão de budas e ensinamentos em múltiplas direções; Oceanos de orações passadas tornados visíveis,Sudhana pergunta sobre o treinamento bodhisattva; Bhīṣmottara Nirghoṣa fala sobre a aspiração à iluminação; Orientações sobre a interdependência entre kalyāṇamitras e sabedoria,Dez mil jovens brâmanes presentes; Demonstrações de aspirações altruístas; Benefícios espirituais recebidos pela presença de Sudhana,"Alcance de samādhis variados como ""essência do sol""; Iluminação contínua através de práticas devocionais; Desenvolvimento de visões multitemporais profundas",Próximo encontro em Īṣāṇa com o brâmane Jayoṣmāyatana; Instruções específicas sobre práticas ascéticas; Profunda gratidão e reverência a Bhīṣmottara Nirghoṣa,Ênfase na interconexão entre visão e sabedoria; Vislumbres de múltiplas temporalidades em prática; Descrição detalhada de encontros espirituais simultâneos
CAPÍTULO 12: JAYOṢMĀYATANA,Jayoṣmāyatana – brâmane em práticas austeras,Īṣāṇa,Sudhana atinge Īṣāṇa e encontra Jayoṣmāyatana cercado por fogueiras gigantescas e precipícios de montanha.,Ascetismo extremo como purificação da conduta bodhisattva; Visão desapegada como liberação; Poder de transformação do fogo em experiência de êxtase,"Fogueiras emitindo radiância que purifica; Divindades, māras e outros seres celestiais testemunhando o impacto; Luzes e sons divinos harmonizando o ambiente",Desafio a Sudhana para escalar e saltar entre montanhas de navalhas; Reflexões internas sobre a validade do desafio espiritual; Sudhana realiza o salto e encontra êxtase onde esperava dor,Inúmeros personagens celestiais observando; Suporte de divindades e māras; Mensagens de confiança em Jayoṣmāyatana,"Realização de samādhis ""estável"" e ""júbilo da paz""; Transcendência do temor e da experiência física habitual; Ênfase na irreversibilidade do desenvolvimento espiritual",Próxima visita a Maitrayaṇī em Siṃha-vijṛmbhita; Continuação da jornada com um novo entendimento; Reafirmação do papel fundamental dos kalyāṇamitras,Uso inovador de desafio físico como meio de realização espiritual; Metáforas de fogo e precipício revelando natureza da confiança; Integração de testemunhas celestiais na narrativa
CAPÍTULO 13: MAITRAYAṆĪ,Maitrayaṇī – filha de rei Siṃhaketu,Palácio Vairocana garbha em Siṃha-vijṛmbhita,Sudhana encontra uma cidade majestosa e um palácio de ouro onde Maitrayaṇī ensina rodeada por muitas pessoas.,"Portais para a perfeição da sabedoria chamada ""visualização completa""; Reconhecimento das múltiplas manifestações do dharma; Importância dos múltiplos caminhos de prática e oração",Palácio refletindo tathāgatas e eventos búdicos em cada superfície; Reflexos são entendidos como expressões de raízes de mérito; Ambiente imbuído de sons e visões celestiais,Sudhana expressa desejo por orientação; Maitrayaṇī o instrui a observar o palácio; Revelação da instrução dos tathāgatas através de reflexões do palácio,Inúmeras pessoas de todas as origens; Harmonização através de ensinamentos; Variedade de seres buscando iluminação,Ampliação da percepção através dos reflexos; Fortalecimento dos poderes de retenção; Integração dos ensinamentos de infinitas aspirações,Direção para Trinayana e o bhikṣu Sudarśana; Continuidade com as instruções sobre sabedoria; Despedida respeitosa e reverente,Uso de ambiente físico como veículo de gnose espiritual; Visões integradas simultaneamente em múltiplas dimensões; União de ensinamentos passados através de visualizações reflexivas
CAPÍTULO 14: SUDARŚANA,Bhikṣu Sudarśana - monge jovem com características físicas búdicas,Floresta densa em Trinayana,"Sudhana encontra um monge que possui todos os sinais físicos de um grande ser, caminhando serenamente em meditação. Ele representa a perfeição da sabedoria através da prática contemplativa.","Liberação ""lâmpada da sabedoria que nunca se extingue""; Realizações através de uma única aspiração; Visões simultâneas de incontáveis reinos búdicos; Poder da caminhada meditativa para transcender limitações",Corpo físico com todas as marcas de um grande ser; Devas das direções facilitando cada movimento; Transformações ambientais acompanhando cada passo; Visões de incontáveis budas e ensinamentos simultaneamente,Sudhana questiona sobre o treinamento bodhisattva; Sudarśana descreve suas realizações ao longo de eras; Explicação do poder de uma única aspiração; Reconhecimento das limitações do próprio conhecimento,"Multidões de devas, nāgas, yakṣas, gandharvas; Seres celestiais servindo cada movimento; Assembleias coordenadas respondendo à presença; Harmonização cósmica durante a caminhada",Prática de celibato com incontáveis tathāgatas; Purificação através de samādhis específicos; Realização da igualdade dos poderes búdicos; Transcendência temporal através de uma única aspiração,Direcionamento para Sumukha em Śramaṇa maṇḍala; Encontro com o menino Indriyeśvara; Continuação com foco na sabedoria prática; Ênfase na necessidade de veneração aos kalyāṇamitras,Descrição física detalhada das características búdicas; Poder transformador da caminhada meditativa; Manifestação de eras de prática em uma única vida; Coordenação cósmica respondendo aos movimentos espirituais
CAPÍTULO 15: INDRIYEŚVARA,Indriyeśvara - menino brincando na areia com outras crianças,Confluência de rios na cidade de Sumukha,Sudhana encontra uma criança ensinada por Mañjuśrī que domina todos os sistemas de conhecimento mundano. Ele representa a sabedoria aplicada através do conhecimento técnico.,"Sabedoria que possui clarividência em todas as artes; Sistema matemático inconcebível dos bodhisattvas; Conhecimento completo de ciências, ofícios e cálculos; Integração entre sabedoria mundana e transcendente",Cálculo preciso de grãos de areia em montes gigantescos; Devas anunciando a localização do menino; Demonstração de matemática transcendente; Enumeração de sistemas numéricos infinitos,Apresentação detalhada do sistema matemático bodhisattva; Explicação das aplicações práticas dos conhecimentos; Demonstração através de contagem de grãos de areia; Lista extensiva de números inconcebíveis,"Dez mil crianças brincando junto; Devas, nāgas, yakṣas e gandharvas como testemunhas; Ambiente de aprendizado lúdico; Integração entre diversão e sabedoria profunda",Domínio de todos os conhecimentos mundanos; Aplicação de sabedoria através de métodos práticos; Compreensão da infinitude através de cálculos; Preparação para ensinamentos mais profundos,Orientação para Samudra-pratiṣṭhāna; Encontro com upāsikā Prabhūtā; Movimento da sabedoria técnica para compaixão prática; Inspiração profunda através dos números infinitos,Ensinamento através de brincadeira infantil; Sistema matemático como dharma; Enumeração exaustiva de números inconcebíveis; Demonstração prática da infinitude através de cálculo
CAPÍTULO 16: PRABHŪTĀ,Upāsikā Prabhūtā - jovem praticante leiga feminina,Casa no centro de Samudra-pratiṣṭhāna,"Sudhana encontra uma jovem mulher simples em uma casa modesta, possuidora apenas de um pequeno pote que satisfaz infinitamente todos os seres. Ela representa a compaixão ilimitada através da generosidade.","Liberação ""exposição incessante do tesouro do mérito""; Poder infinito de um pequeno pote para alimentar todos os seres; Satisfação universal através de oferendas personalizadas; Mérito inesgotável manifestado em ação prática",Pote pequeno alimentando incontáveis seres; Dez mil donzelas com qualidades celestiais; Aromas transformando mentes em toda a cidade; Aparições simultâneas de seres de todas as direções,Explicação do poder milagroso do pote; Descrição da satisfação universal de necessidades; Demonstração prática através de alimentação massiva; Reconhecimento das limitações do próprio conhecimento,Dez mil donzelas com qualidades apsaras; Incontáveis seres chegando das quatro direções; Cem trilhões de assentos disponíveis; Harmonia completa entre todos os participantes,Realização da abundância através da simplicidade; Transformação de kleśas em amor através de aromas; Satisfação universal como expressão de compaixão; Demonstração de mérito infinito em ação,Direcionamento para Mahāsaṃbhava; Encontro com o chefe de família Vidvān; Continuação com foco na vida familiar espiritual; Inspiração através da generosidade infinita,Contraste entre simplicidade externa e poder interno; Transformação social através de aromas espirituais; Pote como símbolo de abundância ilimitada; Integração de vida doméstica com realização transcendente
CAPÍTULO 17: VIDVĀN,Vidvān - chefe de família e householder próspero,Encruzilhada no centro da cidade de Mahāsaṃbhava,"Sudhana encontra Vidvān sentado em um trono magnífico no centro da cidade, cercado por músicos e uma assembleia celestial. Ele representa a realização através da generosidade ilimitada e do poder sobre os requisitos materiais.","Liberação ""mérito que surge do tesouro da mente""; Poder sobre requisitos através da aspiração pura; Manifestação de objetos do céu conforme necessidades; Ensinamento do Dharma após satisfação material",Objetos aparecendo do céu nas palmas das mãos; Satisfação simultânea de incontáveis seres; Música transcendente enchendo toda a cidade; Chuva de flores divinas dos céus,Sudhana expressa aspiração para beneficiar todos os seres; Vidvān elogia a raridade da motivação bodhisattva; Demonstração do poder de manifestar requisitos; Ensinamento específico adaptado a cada tipo de necessidade,Cinco mil músicos tocando instrumentos celestiais; Dez mil seres com corpos superiores a devas e humanos; Séquito com motivação bodhisattva completa; Incontáveis peticionários chegando de todas as direções,Estabelecimento de seres na aspiração bodhisattva; Orientação através da família dos tathāgatas; Desenvolvimento das dez forças búdicas; Compreensão da verdadeira natureza dos fenômenos,"Direcionamento para Siṃhapota; Encontro com Ratnacūḍa, patrono do Dharma; Continuação do tema da generosidade; Ênfase na reverência aos kalyāṇamitras",Manifestação material como método de ensino; Integração de satisfação física e espiritual; Ensinamento do Dharma após atendimento de necessidades; Demonstração prática do poder sobre requisitos
