"ID (do not edit)","Content type","Element type","Source language (PT)","Target language (EN)"
"{""contentId"":""1e3470e5-660c-4ed4-bfcf-09b7cc795211"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","540c04_c3a861aa0dff4db38addb376e8de4e30~mv2.jpg",
"{""contentId"":""1e3470e5-660c-4ed4-bfcf-09b7cc795211"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX","an-japanese-mang-black-and-white-square-page-traditional-kabuki-ukiyo-e-manjushri-half-lio",
"{""contentId"":""529f835f-1526-40ee-b91b-8efa0c4fa2ed"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","a3009f_03aa051d1fca4c10b73b83d689265bd3~mv2.png",
"{""contentId"":""529f835f-1526-40ee-b91b-8efa0c4fa2ed"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX",,
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""descPersonagem"",""sequencePath"":[]}","TEXT","Import2","Depois de ser estabelecido na conduta de Samantabhadra por Mañjuśrī, Sudhana, com a mente totalmente purificada e focada, anseia por ver Samantabhadra.",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""resumoDoCap84000Co"",""sequencePath"":[]}","TEXT","Import2","Sudhana tem grande realização e raízes de mérito, e por isso ocorrem dez eventos e dez luzes que são presságios do aparecimento de Samantabhadra. Sudhana vê Samantabhadra sentado diante do Buda, e vê uma variedade de eventos milagrosos que se manifestam a partir dos poros de Samantabhadra e das atividades de Samantabhadra em incontáveis reinos e através do tempo. Como resultado, ele alcança dez práticas da perfeição do conhecimento. Então Samantabhadra e todos aqueles Samantabhadras antes de cada buda colocam suas mãos sobre a cabeça de Sudhana, e ele obtém grandes realizações.",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""capUrl"",""sequencePath"":[]}","TEXT","Import2","https://drive.google.com/file/d/1Sh_OpQEZy2OLbkU2JHC2qN20VWY2SOnS/view?usp=drive_link",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""qrCodeUrl"",""sequencePath"":[]}","TEXT","Import2","https://technosutra21.github.io/technosutra/?model=56",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""ocupacao"",""sequencePath"":[]}","TEXT","Import2","Bodhisattva",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""linkModel"",""sequencePath"":[]}","TEXT","Import2","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo56.glb",
"{""contentId"":""3d28d9be-19a3-4d34-9886-9f90d97c7c72"",""fieldId"":""nome"",""sequencePath"":[]}","TEXT","Import2","Samanta­bhadra ",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","A cidade de Siṃhapota, em um mercado movimentado, e sua casa de dez andares.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","Sudhana, maravilhado com a casa, pergunta a Ratnacūḍa sobre a causa de sua boa fortuna. Ratnacūḍa narra a história de sua oferenda de incenso ao Buda Anantaraśmidharmadhātusamalaṃkṛtadharmarāja e sua subsequente dedicação tripla do mérito, explicando que este ato único foi a semente para todas as suas realizações atuais.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","A liberação do bodhisattva chamada ""a exibição sem impedimentos do campo da oração"". O ensinamento central é sobre o poder da dedicação do mérito. Ratnacūḍa explica que toda a sua vasta fortuna e habilidade de ensinar o Dharma surgiram de um único ato de generosidade em uma vida passada — oferecer um grão de incenso a um Buda — que ele então dedicou a três objetivos: ver todos os kalyāṇamitras, todos os Budas e todos os bodhisattvas.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1","Cada andar da casa tem sua própria assembleia de bodhisattvas, correspondendo ao nível de realização daquele andar, culminando com a visão de todos os Budas no décimo andar.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Sudhana encontra Ratnacūḍa e é convidado para sua casa, uma estrutura magnífica de dez andares, que funciona como um mandala tridimensional da jornada do bodhisattva. Cada andar revela um estágio mais elevado da prática e da realização, demonstrando o progresso através dos bhūmis (níveis de bodhisattva).",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","Sudhana aprende sobre o poder exponencial da dedicação do mérito e como um pequeno ato, quando dedicado à iluminação de todos os seres, pode gerar resultados inconcebíveis. Ele também ganha uma compreensão visual e hierárquica dos estágios do caminho do bodhisattva através da arquitetura da casa.",
