"﻿""capitulo""",Nome,Liberação Bodhisattvica,Desc. Personagem,Ocupação,Significado,Local,Resumo do Cap. (84000.co),Cap. FILE NAME,Cap. URL,QR Code URL,LINK MODEL (.glb),Technosutra (Item),Rich content,ID,Created Date,Updated Date,Owner
19,Samanta­netra,"As Formas de Perfume que Satisfazem Todos os Seres e Através das quais, de Todas as maneiras, se faz Oferendas e se Honra os Budas","Sudhana encontra Samantanetra em sua loja, onde ele não apenas vende perfumes, mas aplica um profundo conhecimento de fragrâncias e medicina para curar todos os tipos de doenças (físicas, mentais e espirituais).",Perfumista,Olhos Universais,"Uma loja de perfumes na cidade de Samantamukha, na terra de Vetramūlaka.","Sudhana encontra Samantanetra numa loja de perfumes no meio da cidade. Samantanetra descreve como ele pode curar todas as doenças, curar os seres e colocá-los no caminho da iluminação. Ele também é capaz de fazer uma oferenda de perfume a todos os reinos búdicos. Entretanto, seu conhecimento é limitado a este portal chamado as formas de perfume que satisfazem todos os seres e através das quais, de todas as maneiras, se faz oferendas e se honra os budas.",19 SAMANTANETRA Stem Array.pdf,https://drive.google.com/file/d/1wBrJ7brrwUuAOH4vJxK2eOVA271JM0YY/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=19,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo19.glb,/technosutra/samanta%C2%ADnetra,,0a00ddcf-4612-4ee7-9867-6c493439344b,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
2,Samanta­bhadra ,'-,"Após o Buda entrar no samādhi ""O Rugido do Leão"", o bodhisattva Samantabhadra assume a liderança para explicar a profundidade desse estado à assembleia.",Bodhisattva,All Good,"Jetavana, no parque de Anāthapiṇḍada em Śrāvastī.","O bodhisattva Samantabhadra recita versos para os bodhisattvas descrevendo a inconcebível penetração dos fenómenos pelos budas. Além disso, o Buda, ainda em samādhi, emana um raio de luz de entre as suas sobrancelhas para que os bodhisattvas possam ver esses incontáveis reinos búdicos, e num estado de grande alegria os bodhisattvas emanam inúmeras manifestações.",02 SAMANTABHADRA Stem Array.pdf,https://drive.google.com/file/d/1QYST-3K_N-uUSpWA5sa-G5ovCHA-gfU2/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=2,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo2.glb,/technosutra/samanta%C2%ADbhadra,,0a3d3f1e-7f98-4f08-a0b5-aac7027c2545,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
56,Samanta­bhadra ,!,"Depois de ser estabelecido na conduta de Samantabhadra por Mañjuśrī, Sudhana, com a mente totalmente purificada e focada, anseia por ver Samantabhadra.",Bodhisattva,Universalmente Venerável,"No bodhimaṇḍa, diante do Tathāgata Vairocana.","Sudhana tem grande realização e raízes de mérito, e por isso ocorrem dez eventos e dez luzes que são presságios do aparecimento de Samantabhadra. Sudhana vê Samantabhadra sentado diante do Buda, e vê uma variedade de eventos milagrosos que se manifestam a partir dos poros de Samantabhadra e das atividades de Samantabhadra em incontáveis reinos e através do tempo. Como resultado, ele alcança dez práticas da perfeição do conhecimento. Então Samantabhadra e todos aqueles Samantabhadras antes de cada buda colocam suas mãos sobre a cabeça de Sudhana, e ele obtém grandes realizações.",56 SAMANTABHADRA AND “THE PRAYER FOR Stem Array.pdf,https://drive.google.com/file/d/1Sh_OpQEZy2OLbkU2JHC2qN20VWY2SOnS/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=56,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo56.glb,/technosutra/samanta%C2%ADbhadra,,0ffe72cf-7519-4f9d-9edc-c7455e11439a,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
10,Āśā,Estandarte da Bem-Aventurança Sem Tristeza,"Āśā está sentada em um grande trono feito da essência do ouro, adornada com uma coroa de pérolas e joias preciosas que emitem raios de luz gloriosa. Seus braços são decorados com braceletes de ouro e ela usa brincos de pendente azul escuro, todos brilhantes e radiantes.",Devota leiga,Esperança,"Parque Samantavyūha na cidade de Samudravetāḍī. O parque é uma manifestação direta da mente de Āśā, descrito como um paraíso de magnificência inconcebível, com dez trilhões de mansões de joias, cem mil kūṭāgāras de ouro, milhares de palácios aéreos e um milhão de lagos perfumados com sândalo divino. No centro, ergue-se o palácio Vicitra dhvaja, feito de joias oceânicas e berilo.","Sudhana chega ao Parque Samantavyūha, que é milagrosamente belo e feito de substâncias preciosas. A upāsikā Āśā está sentada num trono dentro de um magnífico palácio, com um vasto número de seres de vários tipos a prestar-lhe homenagem. Ela diz a Sudhana que alcançou a liberação bodhisattvica, chamada estandarte da bem-aventurança sem tristeza, e conta seu passado como aluna de inúmeros budas. Ela enfatiza como os bodhisattvas são dedicados ao bem-estar de todos os seres.",10 ĀŚĀ Stem Array.pdf,https://drive.google.com/file/d/1i6Gx_VjZXE64pIfHIDJzxsmZrKbnJmXs/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=10,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo10.glb,/technosutra/%C4%81%C5%9B%C4%81,,100c1980-9202-4f5d-ab41-f757c61ca268,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
28,Vasumitrā, A Completa Realização da Liberdade do Desejo,Sudhana procura por Vasumitrā e encontra uma divisão na opinião pública.,Cortesã,Amiga da Terra,"Śubhaparaṃgama
(cidade)","Sudhana chega à cidade de Ratnavyūha na terra de Durga e procura a cortesã Vasumitrā. As pessoas que não conhecem suas qualidades perguntam-se porque é que um praticante como Sudhana iria querer vê-la enquanto aqueles que conhecem suas qualidades dizem-lhe onde é a sua casa. É vasta, composta por muitos edifícios feitos de materiais preciosos e de aspecto divino. Ela é bela e hábil em línguas e em todas as artes e tratados. O seu corpo ilumina sua residência. Ela diz a Sudhana que assume uma bela forma entre vários tipos de seres que estão sob o poder do desejo e lhes ensina o Dharma para libertá-los do desejo, e que eles também se libertam do desejo ao vê-la, tocá-la, beijá-la e assim por diante.",28 VASUMITRĀ Stem Array.pdf,https://drive.google.com/file/d/1p6LzH4_G1caU5ylXM-puG_gj6LGkXb8U/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=28,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo28.glb,/technosutra/vasumitr%C4%81,,11787a13-fd3e-4002-bbb7-2561d4e7ec15,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
23,Sarvagamin, Luz da Prática de Todos os Portais,"Ao anoitecer, Sudhana encontra Sarvagamin no topo de uma colina brilhante, sendo reverenciado por dez mil brâmanes que o circum-ambulam.",Mendicante,Aquele que Vai a Todos os Lugares,"O topo da colina Sulabha, perto da cidade de Tosala, na terra de Amitatosala.","Depois de uma longa viagem, Sudhana chega à cidade de Tosala na terra chamada Amitatosala. Tendo procurado pela cidade, ele vai até uma colina brilhante chamada Sulabha ao norte da cidade. Em seu cume, ele encontra Sarvagamin sendo honrado por dez mil brâmanes. Sarvagamin descreve como, através do samādhi chamado luz da prática de todos os portais, ele pode beneficiar os seres de muitas maneiras, em muitos mundos.",23 SARVAGAMIN Stem Array.pdf,https://drive.google.com/file/d/1V84Td7uVeuhqhUKwSNKL8CHMZ2eyUza0/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=23,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo23.glb,/technosutra/sarvagamin,,175df523-10f7-4123-ae5f-cd81953da265,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
21,Mahāprabha,Estandarte do Grande Amor de Inúmeros Budas,"Sudhana entra na cidade mais espetacular de sua jornada e encontra o Rei Mahāprabha, que governa não pela força, mas através do poder transformador do amor universal.",Rei,Grande Luz,"A cidade de Suprabha, descrita como uma utopia de magnificência inconcebível, com sete fossos de joias, sete muralhas de diamantes, e milhões de palácios e pavilhões celestiais.","Depois de uma longa busca, Sudhana encontra a cidade de Suprabha, que parece ser milagrosamente feita de materiais preciosos. Ele encontra o rei Mahāprabha sentado num trono na cidade, junto com grandes quantidades de bens, animais e mulheres dispostos como presentes. O rei Mahāprabha diz a Sudhana que ele alcançou a conduta de bodhisattva chamada estandarte do grande amor de inúmeros budas e fornece a todos no seu reino tudo o que desejarem.",21 MAHĀPRABHA Stem Array.pdf,https://drive.google.com/file/d/1WxwwnQ2gdb8KcnJ35IJYXNXeXiyc4OVC/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=21,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo21.glb,/technosutra/mah%C4%81prabha,,1c8b6f00-33e7-4cf4-930b-45009bc3fc7e,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
14,Sudarśana,Lâmpada da sabedoria que Nunca se Extingue,Meditação em pé na floresta,Mendicante,"Bonito, de Boa Visão",Uma densa floresta na terra de Trinayana.,"Depois de uma longa busca, Sudhana encontra o monge Sudarśana auxiliado por devas enquanto pratica meditação andando numa floresta. Ele diz a Sudhana que, durante sua vida, ele foi aluno de inúmeros budas por vastos períodos de tempo e percebe inúmeros budas enquanto pratica sua meditação andando. Entretanto, seu conhecimento é limitado a essa liberação bodhisattvica chamada lâmpada da sabedoria que nunca se extingue.",14 SUDARŚANA Stem Array.pdf,https://drive.google.com/file/d/1dMKRZBDONzsv_qoP2fNLtpaIs1hH_pdY/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=14,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo14.glb,/technosutra/sudar%C5%9Bana,,1e5c2f8a-0821-47b2-b20e-35de82872cbb,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
39,Sarva­nagara­rakṣā­saṃbhava­tejaḥ­śrī,entrada em belos sons e manifestações profundas,"Sudhana se aproxima da deusa, cujo corpo se manifesta simultaneamente em todas as direções, aparecendo diante de todos os seres de forma adaptada para guiá-los e amadurecê-los.",Deusa da Noite,Glória do Brilho Nascido da Proteção de Todas as Cidades,"Sudhana a encontra sentada em um grande trono de lótus, com um séquito de incontáveis deusas da noite.","Sudhana vê a deusa da noite Sarvanagararakṣāsaṃbhavatejaḥśrī sentada em um trono de lótus e tendo um corpo que pode aparecer e se comunicar com todos os seres. Ela diz a ele que alcançou a liberação bodhisattvica chamada entrada em belos sons e manifestações profundas. Ela descreve como guia os seres, ensinando o Dharma de várias maneiras, e como vê o reino dos fenômenos de dez maneiras e ensina através de milhares de poderes de retenção mental, dez dos quais ela lista.",39 SARVANAGARARAKṢĀSAṂBHAVATEJAḤŚRĪ Stem Array.pdf,https://drive.google.com/file/d/1MpF-hIcWTaSFsUo-0yF8euMmwL3rf4Gt/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=39,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo39.glb,/technosutra/sarva%C2%ADnagara%C2%ADrak%E1%B9%A3%C4%81%C2%ADsa%E1%B9%83bhava%C2%ADteja%E1%B8%A5%C2%AD%C5%9Br%C4%AB,,24990fbf-08d6-423a-8194-cad9aa0e49e4,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
26,Jayottama,!,"Sudhana encontra Jayottama no meio de uma assembleia cívica, rodeado por milhares de chefes de família.",Ancião da cidade,Glória da Vitória,"Uma floresta de árvores ashoka chamada Vicitra Dhvaja, na periferia da cidade de Nandihāra.","Sudhana chega à cidade chamada Nandihāra e encontra Jayottama numa floresta no lado leste da cidade, falando sobre deveres cívicos a muitos milhares de chefes de família. Ele conta a Sudhana como em muitos mundos ele ensina o Dharma, pacífica disputas e guerras, guia as pessoas para longe do mau comportamento e as coloca no caminho da iluminação.",26 JAYOTTAMA Stem Array.pdf,https://drive.google.com/file/d/1-8QOFBQLr1tFsPYDt89-TdLfoJFMh9v-/view?usp=drive_link,https://technosutra21.github.io/technosutra/?model=26,https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo26.glb,/technosutra/jayottama,,252ffd61-368a-4582-ad5c-8d834b39d8cd,2025-06-22T01:52:15Z,2025-07-14T19:22:22Z,540c04c9-09fc-436f-957a-b842dc06a474
